file,sha256,lines
prem_ETHUSDT_4h_2023-02.csv,2111e3989bb19d7067305b5abc9fa54bcceba98f32ef0fc54598eb8adffee6ee,169
prem_ETHUSDT_4h_2023-03.csv,f563bea34daca5bd11d461e26340e0c2c49f4f83354b05b02e46605df981dc5c,187
prem_ETHUSDT_4h_2023-04.csv,94bf2a659353def7d729a406666534dd0ec413154b190abc39cfd244e12f4908,175
prem_ETHUSDT_4h_2023-05.csv,6dbd5a4c06c5398b8236be1baf6c5fc89bf4cd12aa45119d1c6491ed803f610f,187
prem_ETHUSDT_4h_2023-06.csv,d2203538b8e075f92cea6c5988d26bcc586ba9ae8358bf5c989c619ed3845243,181
prem_ETHUSDT_4h_2023-07.csv,4f4f57d0dc146625bad3f2f65eab7f31bf88a329b88111b095ea65ccf561e5e0,187
prem_ETHUSDT_4h_2023-08.csv,4f6cfbbadca701ad0afa7d42d681f7373c67bc5479144978023c197538505e4f,187
prem_ETHUSDT_4h_2023-09.csv,49b300f7270472c64339ea509893ef8efcebc01cd4bf3627c099344cb0c73215,181
prem_ETHUSDT_4h_2023-10.csv,a3473dba90713b368783a6207de0bc13b9d33949d8e9b32cd21fad8f3064856d,187
prem_ETHUSDT_4h_2023-11.csv,249ffff976eecb0c7478156aebc59a543961a3d78614b982dfd93c6f6f4431b9,181
prem_ETHUSDT_4h_2023-12.csv,1e3595867e23699e713e5e0d8b672419b58ff7e994c5dfc902cab30e1dab19ef,187
prem_ETHUSDT_4h_2024-01.csv,c91bb06dbbfe9b989caa0cd98932fe79e9bb6b458c8e3f840caed584ae7ad826,187
prem_ETHUSDT_4h_2024-02.csv,1e131a60db4f9fb3c490b5472a6f0fd58be0213ecd95cec497ba9d821a626b20,175
prem_ETHUSDT_4h_2024-03.csv,31dd22882d8a85ddef21d02154f7bee7744341966fbb1013c78b67f1baced0c3,187
prem_ETHUSDT_4h_2024-04.csv,c7b79f101ead43236f4c8c379826c9bc8cc4c2615f4c120633e6e2eee3af545e,181
prem_ETHUSDT_4h_2024-05.csv,d5bfbf9dfc63e8ffea828c182334e77f606e380d5adbeaab832bb1f2b59eda44,187
prem_ETHUSDT_4h_2024-06.csv,1e55b72b0f74531c316aa617c0c45afc7b42a3d809f81295dd43cab7e6daa46e,181
prem_ETHUSDT_4h_2024-07.csv,4c26711a1193f9885364c6a51324375d2b8b031c6ce6c259996e3c9e39a75bb0,187
prem_ETHUSDT_4h_2024-08.csv,83b12ee0eb2a1eda6788dd10676330017b367c62db34dd1068af403569de67d0,187
prem_ETHUSDT_4h_2024-09.csv,16056b08b08a17569fd8073fb67f03b07b60a59f86013c46eaaf500d06a31ed6,181
prem_ETHUSDT_4h_2024-10.csv,dc889d589222f6c2328378721ae94712a2f67be2e3e306baea7645fb25579ea4,187
prem_ETHUSDT_4h_2024-11.csv,ee31c04e9bb68bf72b599ea7e52880a3d85d6489a30214de93ef50f3844e7550,181
